Date,District,Max Temperature (°C),Min Temperature (°C),Avg Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Weather Condition
2023-01-11,Nizamabad,30.3,19.9,25.1,5.2,71.2,3.0,Cloudy
2023-01-11,Karimnagar,40.0,20.1,30.1,0.0,59.0,6.2,Cloudy
2023-01-11,Khammam,39.1,15.1,27.1,0.0,88.4,8.8,Rainy
2023-01-11,Adilabad,41.8,22.3,32.0,11.3,58.3,14.4,Sunny
2023-01-11,Mahabubnagar,32.8,25.8,29.3,50.9,47.1,6.9,Rainy
2023-01-11,Nalgonda,32.1,24.2,28.1,0.0,55.5,8.3,Cloudy
2023-01-11,Medak,35.8,21.2,28.5,0.0,44.7,2.3,Partly Cloudy
2023-01-11,Siddipet,36.0,25.6,30.8,0.0,65.6,14.2,Cloudy
2023-01-12,Hyderabad,37.8,15.8,26.8,0.0,68.9,10.1,Rainy
2023-01-12,Warangal,30.9,16.0,23.4,0.0,40.9,7.4,Sunny
2023-01-12,Nizamabad,30.1,23.3,26.7,51.5,73.4,2.6,Sunny
2023-01-12,Karimnagar,36.7,17.4,27.0,0.0,63.5,11.7,Rainy
2023-01-12,Khammam,36.2,27.6,31.9,0.0,66.3,9.8,Cloudy
2023-01-12,Adilabad,33.6,22.7,28.2,100.5,80.3,2.3,Sunny
2023-01-12,Mahabubnagar,31.1,18.8,24.9,0.0,68.2,3.3,Partly Cloudy
2023-01-12,Nalgonda,40.0,19.3,29.7,0.0,44.1,2.3,Partly Cloudy
2023-01-12,Medak,32.2,26.1,29.2,0.0,46.4,12.2,Sunny
2023-01-12,Siddipet,35.2,18.0,26.6,0.0,64.2,13.3,Rainy
2023-01-13,Hyderabad,31.7,19.6,25.6,0.0,75.4,5.6,Sunny
2023-01-13,Warangal,38.2,17.9,28.1,0.0,59.8,6.0,Sunny
2023-01-13,Nizamabad,31.2,26.0,28.6,0.0,78.5,13.2,Partly Cloudy
2023-01-13,Karimnagar,29.8,17.4,23.6,0.0,70.1,9.7,Partly Cloudy
2023-01-13,Khammam,34.7,24.0,29.3,0.0,79.3,8.0,Rainy
2023-01-13,Adilabad,35.1,18.1,26.6,0.0,43.9,14.6,Sunny
2023-01-13,Mahabubnagar,37.8,15.4,26.6,0.0,63.8,10.0,Partly Cloudy
2023-01-13,Nalgonda,35.5,25.4,30.4,0.0,79.6,11.8,Cloudy
2023-01-13,Medak,41.6,19.5,30.5,0.0,68.7,12.4,Partly Cloudy
2023-01-13,Siddipet,41.6,25.6,33.6,0.0,43.6,4.6,Rainy
2023-01-14,Hyderabad,30.7,25.5,28.1,0.0,60.4,10.7,Cloudy
2023-01-14,Warangal,33.7,23.8,28.7,0.0,68.7,11.5,Partly Cloudy
2023-01-14,Nizamabad,40.9,15.6,28.3,0.0,64.0,4.2,Rainy
2023-01-14,Karimnagar,38.1,19.4,28.7,0.0,69.5,7.7,Sunny
2023-01-14,Khammam,40.0,16.6,28.3,33.5,81.8,9.4,Sunny
2023-01-14,Adilabad,33.5,26.9,30.2,0.0,65.1,14.9,Sunny
2023-01-14,Mahabubnagar,36.4,23.1,29.7,0.0,52.3,13.4,Rainy
2023-01-14,Nalgonda,28.2,20.5,24.3,0.0,76.3,6.2,Rainy
2023-01-14,Medak,30.7,20.7,25.7,0.0,67.9,13.9,Partly Cloudy
2023-01-14,Siddipet,34.6,17.5,26.1,0.0,54.3,7.5,Cloudy
2023-01-15,Hyderabad,28.4,18.6,23.5,12.1,69.0,4.3,Cloudy
2023-01-15,Warangal,31.2,19.6,25.4,0.0,55.4,3.9,Partly Cloudy
2023-01-15,Nizamabad,29.9,18.1,24.0,0.0,88.9,9.7,Cloudy
2023-01-15,Karimnagar,39.9,17.9,28.9,0.0,50.4,6.1,Sunny
2023-01-15,Khammam,37.7,23.0,30.4,0.0,53.8,3.5,Sunny
2023-01-15,Adilabad,33.7,27.8,30.8,0.0,62.7,8.8,Cloudy
2023-01-15,Mahabubnagar,38.3,19.0,28.7,73.0,78.2,12.9,Partly Cloudy
2023-01-15,Nalgonda,30.8,20.0,25.4,0.0,51.7,4.9,Cloudy
2023-01-15,Medak,33.2,23.2,28.2,0.0,63.1,7.6,Cloudy
2023-01-15,Siddipet,37.4,17.7,27.5,0.0,76.0,12.9,Sunny
2023-01-16,Hyderabad,29.4,23.2,26.3,0.0,86.4,14.4,Cloudy
2023-01-16,Warangal,30.8,22.7,26.7,34.6,41.5,12.9,Cloudy
2023-01-16,Nizamabad,40.7,20.5,30.6,0.0,73.6,2.5,Sunny
2023-01-16,Karimnagar,31.0,20.0,25.5,0.0,89.5,14.6,Partly Cloudy
2023-01-16,Khammam,32.3,15.9,24.1,0.0,56.0,12.6,Partly Cloudy
2023-01-16,Adilabad,37.0,23.2,30.1,0.0,50.0,13.6,Cloudy
2023-01-16,Mahabubnagar,31.6,19.5,25.5,0.0,87.2,2.0,Rainy
2023-01-16,Nalgonda,28.9,27.7,28.3,0.0,80.8,14.8,Rainy
2023-01-16,Medak,36.1,19.4,27.8,0.0,64.6,3.5,Partly Cloudy
2023-01-16,Siddipet,38.8,20.4,29.6,53.2,72.9,3.8,Rainy
2023-01-17,Hyderabad,39.2,17.0,28.1,0.0,52.4,14.1,Rainy
2023-01-17,Warangal,29.0,23.8,26.4,0.0,41.7,13.0,Sunny
2023-01-17,Nizamabad,40.4,26.3,33.3,0.0,78.2,3.6,Partly Cloudy
2023-01-17,Karimnagar,36.4,18.8,27.6,0.0,61.9,12.8,Partly Cloudy
2023-01-17,Khammam,41.5,26.7,34.1,0.0,46.3,7.3,Cloudy
2023-01-17,Adilabad,38.1,23.4,30.7,0.0,55.3,9.8,Partly Cloudy
2023-01-17,Mahabubnagar,38.7,23.5,31.1,0.0,88.9,14.0,Sunny
2023-01-17,Nalgonda,38.1,16.6,27.4,0.0,43.6,8.9,Cloudy
2023-01-17,Medak,29.7,15.2,22.4,0.0,48.4,4.3,Rainy
2023-01-17,Siddipet,33.9,25.0,29.4,0.0,53.7,14.5,Cloudy
2023-01-18,Hyderabad,33.2,22.0,27.6,0.0,58.4,5.0,Cloudy
2023-01-18,Warangal,41.3,20.9,31.1,0.0,79.2,3.2,Sunny
2023-01-18,Nizamabad,28.2,26.8,27.5,0.0,69.2,4.9,Cloudy
2023-01-18,Karimnagar,39.7,25.6,32.6,0.0,85.9,9.8,Sunny
2023-01-18,Khammam,34.7,24.8,29.8,11.4,46.3,2.6,Partly Cloudy
2023-01-18,Adilabad,36.5,28.0,32.2,0.0,46.1,11.8,Sunny
2023-01-18,Mahabubnagar,34.7,18.3,26.5,0.0,72.4,2.9,Rainy
2023-01-18,Nalgonda,41.5,20.4,31.0,0.0,67.3,13.5,Sunny
2023-01-18,Medak,41.6,18.6,30.1,0.0,75.7,2.9,Partly Cloudy
2023-01-18,Siddipet,41.5,15.5,28.5,0.0,49.1,2.9,Partly Cloudy
2023-01-19,Hyderabad,38.4,18.0,28.2,0.0,73.4,6.4,Partly Cloudy
2023-01-19,Warangal,28.5,17.6,23.1,0.0,59.4,13.9,Cloudy
2023-01-19,Nizamabad,38.0,25.2,31.6,0.0,48.4,8.5,Rainy
2023-01-19,Karimnagar,30.0,25.0,27.5,45.5,52.0,12.6,Cloudy
2023-01-19,Khammam,33.1,22.0,27.5,0.0,80.7,13.6,Rainy
2023-01-19,Adilabad,39.9,16.5,28.2,0.0,40.8,13.8,Rainy
2023-01-19,Mahabubnagar,34.0,22.5,28.2,0.0,52.8,2.7,Sunny
2023-01-19,Nalgonda,36.7,18.3,27.5,0.0,89.0,8.4,Sunny
2023-01-19,Medak,39.4,15.1,27.2,0.0,66.1,10.4,Cloudy
2023-01-19,Siddipet,29.2,20.7,24.9,0.0,45.9,8.2,Sunny
2023-01-20,Hyderabad,37.7,23.8,30.7,88.5,43.8,8.6,Cloudy
2023-01-20,Warangal,30.6,16.2,23.4,13.9,41.2,14.3,Rainy
2023-01-20,Nizamabad,32.0,24.9,28.5,107.8,82.0,12.3,Sunny
2023-01-20,Karimnagar,39.2,26.4,32.8,0.0,58.9,10.2,Sunny
2023-01-20,Khammam,28.4,26.6,27.5,73.9,72.9,11.5,Sunny
2023-01-20,Adilabad,41.9,15.8,28.9,0.0,65.0,14.5,Partly Cloudy
2023-01-20,Mahabubnagar,30.4,15.3,22.8,89.7,49.9,6.5,Partly Cloudy
2023-01-20,Nalgonda,38.7,25.6,32.1,0.0,60.5,5.8,Rainy
2023-01-20,Medak,39.4,26.2,32.8,83.1,63.9,14.3,Partly Cloudy
2023-01-20,Siddipet,29.0,15.3,22.1,0.0,73.0,2.4,Partly Cloudy
2023-01-21,Hyderabad,30.1,27.9,29.0,0.0,71.9,8.4,Partly Cloudy
2023-01-21,Warangal,35.0,23.8,29.4,0.0,63.3,11.5,Rainy
2023-01-21,Nizamabad,29.9,19.8,24.8,0.0,50.4,7.3,Cloudy
2023-01-21,Karimnagar,30.7,20.9,25.8,0.0,88.4,10.3,Rainy
2023-01-21,Khammam,32.0,25.2,28.6,0.0,89.1,3.1,Sunny
2023-01-21,Adilabad,36.1,27.1,31.6,0.0,88.1,7.7,Rainy
2023-01-21,Mahabubnagar,36.7,24.7,30.7,0.0,84.4,5.3,Rainy
2023-01-21,Nalgonda,29.1,20.7,24.9,0.0,57.9,2.8,Rainy
2023-01-21,Medak,41.1,17.5,29.3,0.0,71.8,2.7,Partly Cloudy
2023-01-21,Siddipet,35.8,19.8,27.8,97.0,54.6,13.1,Rainy
2023-01-22,Hyderabad,34.8,27.5,31.2,0.0,42.0,2.0,Partly Cloudy
2023-01-22,Warangal,28.4,25.8,27.1,52.8,71.8,7.3,Partly Cloudy
2023-01-22,Nizamabad,35.5,21.9,28.7,0.0,80.7,4.4,Rainy
2023-01-22,Karimnagar,28.5,23.3,25.9,68.1,87.2,5.3,Partly Cloudy
2023-01-22,Khammam,34.7,22.3,28.5,0.0,44.2,13.7,Cloudy
2023-01-22,Adilabad,37.7,20.2,29.0,0.0,57.3,4.1,Sunny
2023-01-22,Mahabubnagar,36.0,27.0,31.5,73.0,78.5,4.9,Rainy
2023-01-22,Nalgonda,34.5,21.5,28.0,91.4,69.4,13.2,Rainy
2023-01-22,Medak,41.2,22.3,31.7,74.5,50.4,11.9,Rainy
2023-01-22,Siddipet,30.0,24.8,27.4,0.0,41.0,4.1,Partly Cloudy
2023-01-23,Hyderabad,41.4,23.1,32.3,0.0,56.5,9.6,Rainy
2023-01-23,Warangal,36.8,18.1,27.4,0.0,69.8,14.7,Sunny
2023-01-23,Nizamabad,40.3,18.9,29.6,0.0,44.3,4.1,Partly Cloudy
2023-01-23,Karimnagar,28.2,21.0,24.6,46.7,83.3,2.2,Rainy
2023-01-23,Khammam,31.4,27.8,29.6,0.0,79.6,5.8,Sunny
2023-01-23,Adilabad,33.4,16.5,25.0,0.0,68.5,14.9,Rainy
2023-01-23,Mahabubnagar,29.6,19.8,24.7,0.0,66.0,8.8,Cloudy
2023-01-23,Nalgonda,36.3,22.8,29.5,0.0,74.2,7.5,Cloudy
2023-01-23,Medak,40.7,16.2,28.5,34.2,82.8,12.9,Partly Cloudy
2023-01-23,Siddipet,28.6,22.3,25.5,0.0,45.0,9.0,Partly Cloudy
2023-01-24,Hyderabad,40.4,25.4,32.9,0.0,49.4,6.3,Partly Cloudy
2023-01-24,Warangal,41.4,18.9,30.2,0.0,75.5,5.9,Partly Cloudy
2023-01-24,Nizamabad,37.0,20.0,28.5,0.0,51.6,3.5,Rainy
2023-01-24,Karimnagar,33.8,19.1,26.4,0.0,85.3,2.8,Sunny
2023-01-24,Khammam,31.4,23.5,27.5,0.0,84.8,9.7,Cloudy
2023-01-24,Adilabad,30.4,18.3,24.3,28.3,82.3,5.1,Rainy
2023-01-24,Mahabubnagar,30.2,27.7,29.0,17.8,82.0,10.9,Sunny
2023-01-24,Nalgonda,40.1,19.0,29.5,0.0,58.0,3.8,Sunny
2023-01-24,Medak,35.9,27.6,31.7,0.0,66.7,14.6,Rainy
2023-01-24,Siddipet,39.8,22.4,31.1,0.0,47.2,5.9,Sunny
2023-01-25,Hyderabad,37.1,20.2,28.6,0.0,40.8,10.2,Cloudy
2023-01-25,Warangal,34.8,20.4,27.6,0.0,81.9,12.3,Sunny
2023-01-25,Nizamabad,37.7,16.1,26.9,118.3,65.7,15.0,Sunny
2023-01-25,Karimnagar,34.3,24.7,29.5,20.4,53.0,14.1,Sunny
2023-01-25,Khammam,36.2,16.5,26.3,114.7,63.4,14.0,Partly Cloudy
2023-01-25,Adilabad,31.6,26.4,29.0,0.0,66.8,5.3,Rainy
2023-01-25,Mahabubnagar,32.1,20.5,26.3,0.0,78.7,9.1,Rainy
2023-01-25,Nalgonda,33.6,17.3,25.5,21.1,88.6,7.0,Partly Cloudy
2023-01-25,Medak,32.0,20.4,26.2,17.3,58.3,13.8,Rainy
2023-01-25,Siddipet,28.0,17.3,22.6,56.0,83.1,5.5,Partly Cloudy
2023-01-26,Hyderabad,34.8,15.1,24.9,76.3,45.1,11.4,Cloudy
2023-01-26,Warangal,40.3,19.4,29.8,0.0,50.3,5.2,Sunny
2023-01-26,Nizamabad,40.4,25.3,32.8,0.0,51.1,3.5,Sunny
2023-01-26,Karimnagar,36.6,21.9,29.3,0.0,86.5,4.4,Rainy
2023-01-26,Khammam,41.1,24.0,32.6,0.0,42.2,4.1,Cloudy
2023-01-26,Adilabad,29.7,19.4,24.6,0.0,74.4,6.6,Rainy
2023-01-26,Mahabubnagar,41.6,27.0,34.3,0.0,86.6,6.7,Sunny
2023-01-26,Nalgonda,37.7,15.2,26.4,0.0,84.7,4.7,Sunny
2023-01-26,Medak,40.5,26.3,33.4,0.0,85.4,2.3,Cloudy
2023-01-26,Siddipet,33.1,22.7,27.9,0.0,68.5,9.7,Cloudy
2023-01-27,Hyderabad,30.4,18.6,24.5,0.0,46.9,4.2,Rainy
2023-01-27,Warangal,33.1,16.9,25.0,0.0,80.9,5.9,Cloudy
2023-01-27,Nizamabad,32.4,20.5,26.4,0.0,54.8,10.0,Sunny
2023-01-27,Karimnagar,38.0,25.4,31.7,0.0,78.0,7.2,Rainy
2023-01-27,Khammam,34.2,19.0,26.6,0.0,62.1,13.2,Cloudy
2023-01-27,Adilabad,30.2,16.2,23.2,0.0,64.7,8.1,Rainy
2023-01-27,Mahabubnagar,31.0,18.5,24.7,0.0,71.4,8.7,Partly Cloudy
2023-01-27,Nalgonda,31.6,16.6,24.1,0.0,61.6,12.9,Rainy
2023-01-27,Medak,30.4,18.7,24.5,0.0,75.7,10.8,Rainy
2023-01-27,Siddipet,40.8,24.9,32.9,0.0,86.9,9.3,Partly Cloudy
2023-01-28,Hyderabad,40.8,16.0,28.4,0.0,88.8,3.0,Rainy
2023-01-28,Warangal,33.9,18.0,26.0,69.4,65.6,4.5,Cloudy
2023-01-28,Nizamabad,28.7,27.8,28.2,64.9,77.2,2.9,Rainy
2023-01-28,Karimnagar,41.1,22.6,31.8,0.0,66.2,11.9,Rainy
2023-01-28,Khammam,35.1,20.8,27.9,0.0,43.2,11.5,Partly Cloudy
2023-01-28,Adilabad,40.3,22.2,31.2,41.5,72.5,5.5,Cloudy
2023-01-28,Mahabubnagar,35.0,24.2,29.6,0.0,80.2,15.0,Cloudy
2023-01-28,Nalgonda,31.7,17.4,24.5,0.0,83.5,5.0,Sunny
2023-01-28,Medak,33.2,19.9,26.5,0.0,81.5,3.7,Cloudy
2023-01-28,Siddipet,41.8,26.5,34.1,0.0,74.7,8.5,Rainy
2023-01-29,Hyderabad,35.3,18.4,26.9,0.0,42.5,3.9,Partly Cloudy
2023-01-29,Warangal,39.8,22.5,31.1,0.0,57.4,14.6,Partly Cloudy
2023-01-29,Nizamabad,33.9,22.3,28.1,0.0,46.7,6.5,Rainy
2023-01-29,Karimnagar,39.8,25.9,32.8,0.0,57.9,14.0,Rainy
2023-01-29,Khammam,35.4,16.2,25.8,40.1,79.2,14.7,Cloudy
2023-01-29,Adilabad,36.1,22.7,29.4,12.7,67.7,3.8,Rainy
2023-01-29,Mahabubnagar,38.2,25.6,31.9,0.0,73.4,7.1,Partly Cloudy
2023-01-29,Nalgonda,39.1,19.0,29.0,0.0,61.3,12.5,Rainy
2023-01-29,Medak,32.8,20.7,26.8,119.5,47.4,3.3,Rainy
2023-01-29,Siddipet,30.8,22.1,26.5,0.0,51.3,3.8,Sunny
2023-01-30,Hyderabad,32.4,22.4,27.4,0.0,60.6,12.5,Sunny
2023-01-30,Warangal,38.4,26.6,32.5,0.0,40.1,14.0,Cloudy
2023-01-30,Nizamabad,39.8,23.2,31.5,0.0,64.8,5.0,Partly Cloudy
2023-01-30,Karimnagar,36.2,19.8,28.0,0.0,56.4,14.2,Sunny
2023-01-30,Khammam,28.9,17.2,23.1,81.9,49.4,9.9,Rainy
2023-01-30,Adilabad,39.0,20.8,29.9,17.5,57.7,11.8,Sunny
2023-01-30,Mahabubnagar,32.0,19.5,25.8,0.0,80.5,2.0,Partly Cloudy
2023-01-30,Nalgonda,30.0,19.5,24.7,0.0,72.3,12.0,Cloudy
2023-01-30,Medak,38.6,17.8,28.2,52.9,87.8,5.1,Cloudy
2023-01-30,Siddipet,38.1,22.9,30.5,0.0,46.6,13.3,Rainy
2023-01-31,Hyderabad,38.8,27.2,33.0,0.0,87.6,8.9,Sunny
2023-01-31,Warangal,41.4,27.7,34.6,0.0,56.0,9.2,Partly Cloudy
2023-01-31,Nizamabad,38.7,22.3,30.5,0.0,48.3,11.4,Sunny
2023-01-31,Karimnagar,38.8,27.4,33.1,0.0,56.5,3.5,Cloudy
2023-01-31,Khammam,41.0,24.0,32.5,0.0,65.2,3.1,Sunny
2023-01-31,Adilabad,39.1,21.8,30.5,0.0,81.8,2.4,Sunny
2023-01-31,Mahabubnagar,31.9,28.0,29.9,0.0,75.6,11.9,Sunny
2023-01-31,Nalgonda,34.9,19.8,27.3,0.0,47.6,5.1,Partly Cloudy
2023-01-31,Medak,39.4,19.5,29.4,0.0,79.9,2.5,Rainy
2023-01-31,Siddipet,41.0,25.4,33.2,48.6,52.9,8.6,Sunny
2023-02-01,Hyderabad,29.3,27.4,28.4,0.0,84.8,2.6,Partly Cloudy
2023-02-01,Warangal,30.8,26.9,28.8,0.0,66.9,6.3,Sunny
2023-02-01,Nizamabad,40.9,22.2,31.5,0.0,71.9,8.0,Cloudy
2023-02-01,Karimnagar,41.7,20.1,30.9,4.7,83.6,4.2,Cloudy
2023-02-01,Khammam,28.4,24.5,26.4,0.0,76.0,10.8,Sunny
2023-02-01,Adilabad,31.0,22.3,26.6,0.0,41.9,7.2,Cloudy
2023-02-01,Mahabubnagar,38.4,19.8,29.1,0.0,64.7,12.0,Partly Cloudy
2023-02-01,Nalgonda,31.8,16.8,24.3,0.0,65.9,14.9,Partly Cloudy
2023-02-01,Medak,30.5,20.5,25.5,0.0,42.1,13.6,Sunny
